Pergunta;Opcao1;Opcao2;Opcao3;Opcao4;Opcao5;Correta;Faixa;Midia;CreditoNome;CreditoLink;;CATEGORIA
"Técnica: ""projeção com"" grande rotação externa";ō-soto-guruma;ashi-guruma;ō-soto-otoshi;ō-soto-makikomi;;ō-soto-guruma;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" o quadril por trás";ushiro-goshi;utsuri-goshi;tsuri-goshi;ura-nage;;ushiro-goshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" puxada pela manga e suspensão do quadril";sode-tsurikomi-goshi;tsurikomi-goshi;tsuri-goshi;harai-goshi;;sode-tsurikomi-goshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" rotação nos ombros";kata-guruma;ashi-guruma;ō-soto-guruma;koshi-guruma;;kata-guruma;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técníca: ""projeção com"" rotação para o lado";yoko-guruma;yoko-wakare;yoko-otoshi;yoko-gake;;yoko-guruma;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" separação de lados";yoko-wakare;yoko-guruma;yoko-otoshi;yoko-gake;;yoko-wakare;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" suspensão pelo quadril";tsuri-goshi;sode-tsurikomi-goshi;tsurikomi-goshi;harai-goshi;;tsuri-goshi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" troca de quadril";utsuri-goshi;tsuri-goshi;ushiro-goshi;uki-goshi;;utsuri-goshi;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica de"" separação com abraço";daki-wakare;yoko-wakare;wakare-jime;kani-basami;;daki-wakare;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica de"" suspensão abraçando";daki-age;yama-arashi;kuchiki-taoshi;yoko-guruma;;daki-age;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta ""com varredura"" interna na coxa";uchi-mata-makikomi;harai-makikomi;hane-makikomi;uchi-makikomi;;uchi-mata-makikomi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta com elevação ""do quadril""";hane-makikomi;uchi-makikomi;soto-makikomi;harai-makikomi;;hane-makikomi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta com grande ""ceifada"" externa";ō-soto-makikomi;uchi-makikomi;harai-makikomi;hane-makikomi;;ō-soto-makikomi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta com varredura ""do quadril""";harai-makikomi;hane-makikomi;uchi-makikomi;soto-makikomi;;harai-makikomi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta externa";soto-makikomi;uchi-makikomi;hane-makikomi;harai-makikomi;;soto-makikomi;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" com flutuação no quadril";uki-goshi;ō-goshi;harai-goshi;tsuri-goshi;;uki-goshi;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" com puxada e suspensão do quadril";tsurikomi-goshi;sode-tsurikomi-goshi;harai-tsurikomi-ashi;sasae-tsurikomi-ashi;;tsurikomi-goshi;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""variação"" da imobilização do ""manto""";kuzure-kesa-gatame;kesa-gatame;kata-gatame;hon-kesa-gatame;;kuzure-kesa-gatame;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""variação"" da imobilização dos quatro apoios ""pela cabeça""";kuzure-kami-shihō-gatame;kami-shihō-gatame;kuzure-kesa-gatame;tate-shihō-gatame;;kuzure-kami-shihō-gatame;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""varrida"" por entre as coxas";uchi-mata;harai-goshi;ō-uchi-gari;uchi-makikomi;;uchi-mata;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: ceifada com ambas as mãos;morote-gari;sukui-nage;kibisu-gaeshi;kuchiki-taoshi;;morote-gari;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com a axila;ude-hishigi-waki-gatame;ude-hishigi-hara-gatame;ude-hishigi-te-gatame;ude-hishigi-ude-gatame;;ude-hishigi-waki-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com a mão;ude-hishigi-te-gatame;ude-hishigi-hara-gatame;ude-hishigi-waki-gatame;ude-hishigi-ude-gatame;;ude-hishigi-te-gatame;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com a perna;ude-hishigi-ashi-gatame;ude-hishigi-ude-gatame;ude-hishigi-hiza-gatame;ashi-garami;;ude-hishigi-ashi-gatame;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com o braço/mão;ude-hishigi-ude-gatame;ude-hishigi-sankaku-gatame;ude-hishigi-ashi-gatame;ude-hishigi-hiza-gatame;;ude-hishigi-ude-gatame;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com o joelho;ude-hishigi-hiza-gatame;ude-hishigi-ude-gatame;ude-hishigi-sankaku-gatame;ude-hishigi-ashi-gatame;;ude-hishigi-hiza-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com o ventre;ude-hishigi-hara-gatame;ude-hishigi-waki-gatame;ude-hishigi-te-gatame;ude-hishigi-ude-gatame;;ude-hishigi-hara-gatame;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço em triângulo;ude-hishigi-sankaku-gatame;ude-hishigi-ude-gatame;ude-hishigi-ashi-gatame;ude-hishigi-hiza-gatame;;ude-hishigi-sankaku-gatame;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: domínio do braço estendido em cruz;ude-hishigi-jūji-gatame;ude-hishigi-ude-gatame;ude-hishigi-waki-gatame;ude-hishigi-hara-gatame;;ude-hishigi-jūji-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: enlace da perna;ashi-garami;ude-hishigi-ashi-gatame;ude-hishigi-hiza-gatame;ude-garami;;ashi-garami;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: enlace do braço;ude-garami;ude-hishigi-ude-gatame;ude-hishigi-ashi-gatame;ashi-garami;;ude-garami;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: esquiva da ""varrida"" entre as coxas";uchi-mata-sukashi;uchi-mata-gaeshi;ō-uchi-gaeshi;kouchi-gaeshi;;uchi-mata-sukashi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento assimétrico em cruz;kata-jūji-jime;nami-jūji-jime;kataha-jime;gyaku-jūji-jime;;kata-jūji-jime;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento com a gola deslizando;okuri-eri-jime;kataha-jime;hadaka-jime;gyaku-jūji-jime;;okuri-eri-jime;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento com ambas as mãos;ryōte-jime;katate-jime;okuri-eri-jime;dō-jime;;ryōte-jime;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento com uma mão;katate-jime;kataha-jime;kata-jūji-jime;ryōte-jime;;katate-jime;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento da separação;wakare-jime;hadaka-jime;tsukkomi-jime;hasami-jime;;wakare-jime;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento de uma lâmina;kataha-jime;katate-jime;kata-jūji-jime;hadaka-jime;;kataha-jime;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento desnudo;hadaka-jime;kataha-jime;okuri-eri-jime;katate-jime;;hadaka-jime;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento do tronco;dō-jime;tsukkomi-jime;wakare-jime;jigoku-jime;;dō-jime;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento em cruz invertido;gyaku-jūji-jime;kata-jūji-jime;nami-jūji-jime;kataha-jime;;gyaku-jūji-jime;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento em cruz padrão;nami-jūji-jime;kata-jūji-jime;kataha-jime;gyaku-jūji-jime;;nami-jūji-jime;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento em triângulo;sankaku-jime;okuri-eri-jime;dō-jime;nami-jūji-jime;;sankaku-jime;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento pela pegada;nigiri-jime;tsukkomi-jime;okuri-eri-jime;wakare-jime;;nigiri-jime;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento pela rotação das mangas;sode-guruma-jime;okuri-eri-jime;sankaku-jime;eri-guruma-jime;;sode-guruma-jime;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: estrangulamento por invasão;tsukkomi-jime;wakare-jime;okuri-eri-jime;dō-jime;;tsukkomi-jime;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: gancho do sapo;kawazu-gake;kani-basami;yama-arashi;kuchiki-taoshi;;kawazu-gake;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: gancho lateral;yoko-gake;yoko-wakare;yoko-guruma;yoko-otoshi;;yoko-gake;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: grande ""técnica"" de quadril";ō-goshi;uki-goshi;harai-goshi;tai-otoshi;;ō-goshi;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: grande ceifada externa;ō-soto-gari;ō-uchi-gari;ko-soto-gari;ō-goshi;;ō-soto-gari;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: grande ceifada interna;ō-uchi-gari;ō-soto-gari;ko-uchi-gari;ō-guruma;;ō-uchi-gari;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: grande tombamento externo;ō-soto-otoshi;ō-soto-gari;ō-soto-guruma;ō-soto-makikomi;;ō-soto-otoshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: imobilização do ""manto""";kesa-gatame;kata-gatame;tate-shihō-gatame;hon-kesa-gatame;;kesa-gatame;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: imobilização do ""manto"" de costas";ushiro-kesa-gatame;kesa-gatame;kata-gatame;hon-kesa-gatame;;ushiro-kesa-gatame;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: imobilização dos quatro apoios ""pela cabeça""";kami-shiho-gatame;yoko-shihō-gatame;tate-shihō-gatame;kata-gatame;;kami-shiho-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: imobilização dos quatro apoios ao comprido;tate-shihō-gatame;kami-shihō-gatame;yoko-shihō-gatame;kata-gatame;;tate-shihō-gatame;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: imobilização dos quatro apoios pelo lado;yoko-shihō-gatame;tate-shihō-gatame;kami-shihō-gatame;kata-gatame;;yoko-shihō-gatame;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: imobilização flutuante;uki-gatame;kesa-gatame;yoko-shihō-gatame;tate-shihō-gatame;;uki-gatame;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: imobilização invertida;ura-gatame;kami-shihō-gatame;tate-shihō-gatame;hon-kesa-gatame;;ura-gatame;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: imobilização pelo ombro;kata-gatame;kesa-gatame;yoko-shihō-gatame;kuzure-kesa-gatame;;kata-gatame;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão com domínio pela faixa;obi-tori-gaeshi;hikikomi-gaeshi;sumi-gaeshi;tawara-gaeshi;;obi-tori-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão com puxada para baixo;hikikomi-gaeshi;sumi-gaeshi;obi-torigaeshi;tawara-gaeshi;;hikikomi-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: inversão da ""projeção com"" elevação pelo quadril";hane-goshi-gaeshi;uchi-mata-gaeshi;harai-goshi-gaeshi;ō-uchi-gaeshi;;hane-goshi-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: inversão da ""varrida"" entre as coxas";uchi-mata-gaeshi;harai-goshi-gaeshi;hane-goshi-gaeshi;ō-uchi-gaeshi;;uchi-mata-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão da andorinha;tsubame-gaeshi;hikikomi-gaeshi;tawara-gaeshi;sumi-gaeshi;;tsubame-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: inversão da grande ""ceifada"" externa";ō-soto-gaeshi;ō-uchi-gaeshi;ko-uchi-gaeshi;harai-goshi-gaeshi;;ō-soto-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: inversão da grande ""ceifada"" interna";ō-uchi-gaeshi;ō-soto-gaeshi;ko-uchi-gaeshi;uchi-mata-gaeshi;;ō-uchi-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: inversão da pequena ""ceifada"" interna";ko-uchi-gaeshi;ō-uchi-gaeshi;ō-soto-gaeshi;uchi-mata-gaeshi;;ko-uchi-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão da varredura com o quadril;harai-goshi-gaeshi;hane-goshi-gaeshi;uchi-mata-gaeshi;ō-uchi-gaeshi;;harai-goshi-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão do canto;sumi-gaeshi;hikikomi-gaeshi;obi-tori-gaeshi;sumi-otoshi;;sumi-gaeshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão do saco de palha;tawara-gaeshi;sumi-gaeshi;obi-tori-gaeshi;hikikomi-gaeshi;;tawara-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: inversão pelo calcanhar;kibisu-gaeshi;morote-gari;sukui-nage;kuchiki-taoshi;;kibisu-gaeshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: pequena ""ceifada"" centripeta interna";ko-uchi-makikomi;soto-makikomi;hane-makikomi;harai-makikomi;;ko-uchi-makikomi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: pequena ceifada externa;ko-soto-gari;ko-uchi-gari;ō-uchi-gari;ō-soto-gari;;ko-soto-gari;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: pequena ceifada interna;ko-uchi-gari;ō-uchi-gari;ō-soto-gari;ko-soto-gari;;ko-uchi-gari;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: pequeno gancho externo;ko-soto-gake;ko-uchi-gari;yoko-gake;kawazu-gake;;ko-soto-gake;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: projeção ""circular""";tomoe-nage;seoi-nage;sumi-gaeshi;ippon-seoi-nage;;tomoe-nage;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: projeção carregando nas costas;seoi-nage;seoi-otoshi;ippon-seoi-nage;kata-guruma;;seoi-nage;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: projeção com um ""braço"" carregando nas costas";ippon-seoi-nage;seoi-nage;seoi-otoshi;uchi-mata;;ippon-seoi-nage;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: projeção em colher;sukui-nage;seoi-nage;sumi-gaeshi;tawara-gaeshi;;sukui-nage;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: projeção para trás;ura-nage;ushiro-goshi;utsuri-goshi;yoko-guruma;;ura-nage;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: puxada e suspensão com trancamento do pé de apoio;sasae-tsurikomi-ashi;harai-tsurikomi-ashi;sode-tsurikomi-goshi;tsurikomi-goshi;;sasae-tsurikomi-ashi;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: puxada e suspensão com varredura do pé de apoio;harai-tsurikomi-ashi;sasae-tsurikomi-ashi;harai-goshi;tsurikomi-goshi;;harai-tsurikomi-ashi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: queda da árvore velha;kuchiki-taoshi;yama-arashi;kani-basami;tani-otoshi;;kuchiki-taoshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: queda no vale;tani-otoshi;hane-makikomi;kibisu-gaeshi;kani-basami;;tani-otoshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: rotação no joelho;hiza-guruma;kata-guruma;sasae-tsurikomi-ashi;ō-soto-guruma;;hiza-guruma;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: rotação no quadril;koshi-guruma;seoi-nage;ō-goshi;harai-goshi;;koshi-guruma;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: rotação sobre a perna;ashi-guruma;ō-guruma;sasae-tsurikomi-ashi;tai-otoshi;;ashi-guruma;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: técnica flutuante;uki-waza;uki-goshi;uki-otoshi;sukui-nage;;uki-waza;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tempestade na montanha;yama-arashi;kani-basami;tani-otoshi;kuchiki-taoshi;;yama-arashi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tesoura do caranguejo;kani-basami;yama-arashi;tani-otoshi;kuchiki-taoshi;;kani-basami;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tombamento carregando nas costas;seoi-otoshi;seoi-nage;tai-otoshi;sumi-otoshi;;seoi-otoshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tombamento do corpo;tai-otoshi;seoi-otoshi;ō-soto-otoshi;yoko-otoshi;;tai-otoshi;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tombamento flutuante;uki-otoshi;seoi-otoshi;sumi-otoshi;uki-goshi;;uki-otoshi;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tombamento lateral;yoko-otoshi;yoko-wakare;yoko-guruma;yoko-gake;;yoko-otoshi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tombamento para o canto;sumi-otoshi;uki-otoshi;sumi-gaeshi;tai-otoshi;;sumi-otoshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: tombamento pela faixa;obi-otoshi;obi-tori-gaeshi;tsuri-goshi;yoko-otoshi;;obi-otoshi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: varredura com o quadril;harai-goshi;harai-tsurikomi-ashi;ō-goshi;tsuri-goshi;;harai-goshi;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: varredura do pé avançado;de-ashi-harai;okuri-ashi-harai;sasae-tsurikomi-ashi;ko-soto-gari;;de-ashi-harai;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: varredura dos pés deslizando;okuri-ashi-harai;de-ashi-harai;sasae-tsurikomi-ashi;ko-soto-gari;;okuri-ashi-harai;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"tori adota a pegada de direita e uke de esquerda (ou vice-versa); também conhecido como ""manga-manga, gola-gola""";kenka-yotsu;ai-yotsu;kumi-kata;pegada cruzada;;kenka-yotsu;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
uniforme do praticante de judô;jūdōgi;kimono;tatami;uwagi;;jūdōgi;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Você é o árbitro. O que você marcaria?;ippon;waza-ari;yuko;hansoku-make;nada;ippon;shodan;01-01_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ippon;waza-ari;yuko;hansoku-make;nada;ippon;shodan;01-02_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
