Pergunta;Opcao1;Opcao2;Opcao3;Opcao4;Opcao5;Correta;Faixa;Midia;CreditoNome;CreditoLink;;CATEGORIA
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;válido;shodan;11-07_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;válido;shodan;11-08_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;válido;shodan;11-09_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;válido;shodan;11-10_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;shidō;shodan;12-01_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;shidō;shodan;12-02_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;shidō;shodan;12-03_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;shidō;shodan;12-04_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;shidō;shodan;12-05_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;válido;shidō;hansoku-make;;;shidō;shodan;12-06_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;nada;shodan;13-01_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;ponto;shodan;13-02_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;nada;shodan;13-03_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;nada;shodan;13-04_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;ponto;shodan;13-05_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;nada;shodan;13-06_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;shidō;shodan;13-07_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;shidō;shodan;13-08_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;nada;shodan;13-09_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;hansoku-make;nada;;nada;shodan;13-10_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-01_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-02_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;ponto;shodan;14-03_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;shidō;shodan;14-04_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;shidō;shodan;14-05_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;shidō;shodan;14-06_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-07_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-08_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-09_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-10_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;shidō;shodan;14-11_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-12_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;shido;shodan;14-13_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;mate;shodan;14-14_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;nada;shodan;14-15_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Você é o árbitro. O que você marcaria?;ponto;shidō;mate;nada;;shidō;shodan;14-16_.mp4;Luiz Pavani;instagram.com/luizpavani;;Arbitragem
Qual técnica está sendo demonstrada nessa imagem?;ō-uchi-gari;ko-uchi-gari;uchi-mata;ō-soto-gari;;ō-uchi-gari;amarela;1-7o-uchi-gari.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;sasae-tsurikomi-ashi;hiza-guruma;ashi-guruma;okuri-ashi-harai;;sasae-tsurikomi-ashi;amarela;1-3sasae-tsurikomi-ashi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ko-uchi-gari;ko-soto-gari;ō-uchi-gari;tsubame-gaeshi;;ko-uchi-gari;amarela;2-2ko-uchi-gari.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-soto-gari;ō-soto-otoshi;ō-soto-guruma;ō-soto-makikomi;;ō-soto-gari;amarela;1-5o-soto-gari.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ippon-seoi-nage;seoi-nage;seoi-otoshi;ippon;;ippon-seoi-nage;amarela;7-18ippon-seoi-nage.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tsurikomi-goshi;tsuri-goshi;sode-tsurikomi-goshi;utsuri-goshi;;tsurikomi-goshi;amarela;2-4tsurikomi-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uchi-mata;tsurikomi-goshi;harai-goshi;uchi-mata-makikomi;;uchi-mata;amarela;2-8uchi-mata.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ko-soto-gari;ko-uchi-gari;ko-soto-gake;okuri-ashi-harai;;ko-soto-gari;azul;2-1ko-soto-gari.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;koshi-guruma;ō-goshi;tsurikomi-goshi;uki-goshi;;koshi-guruma;azul;2-3koshi-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;seoi-nage;seoi-otoshi;ippon-seoi-nage;uchi-makikomi;;seoi-nage;azul;1-8seoi-nage.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uki-otoshi;tai-otoshi;yoko-otoshi;tani-otoshi;;uki-otoshi;azul;09-09_.mp4;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-goshi;harai-goshi;tsurikomi-goshi;koshi-guruma;;ō-goshi;branca;1-6o-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;de-ashi-harai;ko-uchi-gari;ko-soto-gake;okuri-ashi-harai;;de-ashi-harai;branca;1-1de-ashi-harai.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uki-goshi;harai-goshi;tsurikomi-goshi;koshi-guruma;;uki-goshi;cinza;1-4uki-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tai-otoshi;ashi-guruma;harai-goshi;seoi-otoshi;;tai-otoshi;cinza;2-6tai-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;hiza-guruma;sasae-tsurikomi-ashi;harai-tsurikomi-ashi;okuri-ashi-harai;;hiza-guruma;cinza;1-2hiza-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;hane-goshi;harai-goshi;yama-arashi;koshi-guruma;;hane-goshi;laranja;3-5hane-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-guruma;harai-goshi;ashi-guruma;tai-otoshi;;ō-guruma;laranja;4-6o-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;harai-tsurikomi-ashi;ko-soto-gari;ko-soto-gake;ō-soto-gari;;harai-tsurikomi-ashi;laranja;3-6harai-tsurikomi-ashi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ko-soto-gake;ko-soto-gari;de-ashi-harai;ō-soto-gari;;ko-soto-gake;laranja;3-1ko-soto-gake.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ashi-guruma;ō-guruma;harai-goshi;ō-soto-gari;;ashi-guruma;laranja;3-4ashi-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tomoe-nage;sumi-gaeshi;yoko-otoshi;uki-waza;;tomoe-nage;laranja;3-7tomoe-nage.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;yoko-otoshi;sumi-otoshi;yoko-wakare;uki-otoshi;;yoko-otoshi;laranja;3-3yoko-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tsuri-goshi;tsurikomi-goshi;harai-goshi;utsuri-goshi;;tsuri-goshi;laranja;3-2tsuri-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;kata-guruma;uki-waza;tawara-gaeshi;morote-gari;;kata-guruma;laranja;3-8kata-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;daki-wakare;daki-age;yoko-wakare;yoko-otoshi;;daki-wakare;marrom;6-5daki-wakare.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tawara-gaeshi;daki-age;daki-wakare;sumi-gaeshi;;tawara-gaeshi;marrom;6-7tawara-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;yama-arashi;harai-goshi;eri-seoi-nage;tai-otoshi;;yama-arashi;marrom;6-3yama-arashi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uchi-mata-gaeshi;harai-goshi-gaeshi;hane-goshi-gaeshi;ko-uchi-gaeshi;;uchi-mata-gaeshi;marrom;7-10uchi-mata-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;hane-goshi-gaeshi;harai-goshi-gaeshi;ko-uchi-gaeshi;ō-uchi-gaeshi;;hane-goshi-gaeshi;marrom;7-11hane-goshi-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tsubame-gaeshi;ko-soto-gari;sasae-tsurikomi-ashi;okuri-ashi-harai;;tsubame-gaeshi;marrom;7-5tsubame-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-uchi-gaeshi;ko-uchi-gaeshi;uchi-mata-gaeshi;harai-goshi-gaeshi;;ō-uchi-gaeshi;marrom;7-7o-uchi-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-soto-gaeshi;ko-uchi-gaeshi;uchi-mata-gaeshi;harai-goshi-gaeshi;;ō-soto-gaeshi;marrom;7-8o-soto-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;harai-goshi-gaeshi;ko-uchi-gaeshi;uchi-mata-gaeshi;hane-goshi-gaeshi;;harai-goshi-gaeshi;marrom;7-9harai-goshi-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;kibisu-gaeshi;kuchiki-taoshi;morote-gari;sukui-nage;;kibisu-gaeshi;marrom;7-3kibisu-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;kuchiki-taoshi;morote-gari;kibisu-gaeshi;sukui-nage;;kuchiki-taoshi;marrom;7-2kuchiki-taoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;obi-tori-gaeshi;morote-gari;kibisu-gaeshi;kuchiki-taoshi;;obi-tori-gaeshi;marrom;7-19obi-tori-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-soto-otoshi;ō-soto-gari;ō-soto-guruma;tai-otoshi;;ō-soto-otoshi;marrom;6-4o-soto-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ko-uchi-gaeshi;ō-uchi-gaeshi;uchi-mata-gaeshi;harai-goshi-gaeshi;;ko-uchi-gaeshi;marrom;7-6ko-uchi-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;kawazu-gake;ō-uchi-gari;ko-uchi-gari;uchi-mata;;kawazu-gake;marrom;7-14kawazu-gake.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;obi-otoshi;obi-tori-gaeshi;te-guruma;tani-otoshi;;obi-otoshi;marrom;6-1obi-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uchi-makikomi;seoi-nage;soto-makikomi;ippon-seoi-nage;;uchi-makikomi;marrom;6-8uchi-makikomi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-soto-makikomi;soto-makikomi;ō-soto-gari;uchi-mata-makikomi;;ō-soto-makikomi;marrom;7-13o-soto-makikomi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;hikikomi-gaeshi;sumi-gaeshi;obi-tori-gaeshi;tomoe-nage;;hikikomi-gaeshi;marrom;6-6hikikomi-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uchi-mata-sukashi;sumi-otoshi;uchi-mata-gaeshi;não há técnica;;uchi-mata-sukashi;marrom;7-4uchi-mata-sukashi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;kani-basami;tawara-gaeshi;hikikomi-gaeshi;obitori-gaeshi;;kani-basami;marrom;7-12kani-basami.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uchi-mata-makikomi;uchi-mata;uchi-mata-gaeshi;uchi-mata-sukashi;;uchi-mata-makikomi;marrom;7-16uchi-mata-makikomi;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;harai-makikomi;uchi-mata-makikomi;ō-soto-makikomi;uchi-mata;;harai-makikomi;marrom;7-15harai-makikomi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;daki-age;ura-nage;yoko-gake;yoko-guruma;;daki-age;marrom;7-xdaki-age.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;seoi-otoshi;ippon-seoi-nage;suwari-seoi;ippon;;seoi-otoshi;roxa;6-2seoi-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ko-uchi-makikomi;ko-uchi-gari;ippon-seoi-nage;uchi-makikomi;;ko-uchi-makikomi;roxa;7-20ko-uchi-makikomi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;morote-gari;kuchiki-taoshi;kibisu-gaeshi;sukui-nage;;morote-gari;roxa;7-1morote-gari.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;seoi-nage;seoi-otoshi;ippon-seoi-nage;tai-otoshi;;seoi-nage;roxa;NSEOI-OTOSHI.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;sode-tsurikomi-goshi;tsurikomi-goshi;ō-goshi;seoi-nage;;sode-tsurikomi-goshi;roxa;7-17sode-tsurikomi-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ō-soto-guruma;ō-soto-gari;ō-soto-otoshi;ō-soto-makikomi;;ō-soto-guruma;roxa;5-1o-soto-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;uki-waza;tani-otoshi;yoko-wakare;tawara-gaeshi;;uki-waza;roxa;5-2uki-waza.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ura-nage;tani-otoshi;yoko-guruma;ushiro-goshi;;ura-nage;roxa;5-6ura-nage.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;yoko-guruma;ura-nage;sumi-gaeshi;tomoe-nage;;yoko-guruma;roxa;5-4yoko-guruma.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;ushiro-goshi;utsuri-goshi;ura-nage;tani-otoshi;;ushiro-goshi;roxa;5-5ushiro-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;yoko-gake;yoko-guruma;okuri-ashi-harai;ko-soto-gake;;yoko-gake;roxa;5-8yoko-gake.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;yoko-wakare;yoko-otoshi;uki-waza;yoko-guruma;;yoko-wakare;roxa;5-3yoko-wakare.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;okuri-ashi-harai;de-ashi-harai;ko-soto-gari;sasae-tsurikomi-ashi;;okuri-ashi-harai;verde;2-5okuri-ashi-harai.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;sumi-otoshi;tai-otoshi;seoi-otoshi;yoko-otoshi;;sumi-otoshi;verde;5-7sumi-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;hane-makikomi;harai-makikomi;soto-makikomi;uchi-makikomi;;hane-makikomi;verde;4-3hane-makikomi.gif;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;soto-makikomi;harai-makikomi;hane-makikomi;ō-soto-makikomi;;soto-makikomi;verde;4-7soto-makikomi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;harai-goshi;koshi-guruma;uchi-mata;tai-otoshi;;harai-goshi;verde;2-7harai-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;tani-otoshi;sukui-nage;uki-waza;tai-otoshi;;tani-otoshi;verde;4-2tani-otoshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;sukui-nage;tani-otoshi;yoko-otoshi;tawara-gaeshi;;sukui-nage;verde;4-4sukui-nage.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;sumi-gaeshi;tomoe-nage;tawara-gaeshi;yoko-wakare;;sumi-gaeshi;verde;4-1sumi-gaeshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza
Qual técnica está sendo demonstrada nessa imagem?;utsuri-goshi;tsuri-goshi;ushiro-goshi;tsurikomi-goshi;;utsuri-goshi;verde;4-5utsuri-goshi.png;Luiz Pavani;instagram.com/luizpavani;;Waza